ordem,celula,lat,lon,densidade
1,40.0_138.0,40.572200,138.513143,5.131000
2,40.0_137.0,40.509320,137.793520,7.458000
3,41.0_137.0,41.360000,137.315500,10.100000
4,41.0_138.0,41.467200,138.656450,2.727500
5,42.0_138.0,42.528150,138.545900,10.160000
6,41.0_139.0,41.238433,139.605800,4.737133
7,40.0_139.0,40.626598,139.317500,1.631132
8,39.0_139.0,39.595133,139.227533,1.151367
9,39.0_138.0,39.205743,138.662014,0.796714
10,39.0_137.0,39.341175,137.826225,7.023250
11,38.0_137.0,38.403603,137.467329,1.808610
12,38.0_138.0,38.687140,138.478517,3.552860
13,37.0_138.0,37.879750,138.377625,2.725000
14,37.0_137.0,37.499025,137.651442,2.357100
15,37.0_136.0,37.147059,136.638877,6.350145
16,38.0_136.0,38.012400,136.257500,0.569000
17,38.0_135.0,38.863200,135.289700,15.800000
18,39.0_135.0,39.448500,135.824900,1.841500
19,40.0_136.0,40.488600,136.903500,5.580000
20,39.0_135.0,39.448500,135.824900,1.841500
21,38.0_135.0,38.863200,135.289700,15.800000
22,37.0_135.0,37.416567,135.818333,0.365200
23,36.0_135.0,36.341603,135.471350,1.393250
24,35.0_135.0,35.806614,135.569662,2.787085
25,35.0_134.0,35.819700,134.603540,2.754000
26,36.0_134.0,36.382407,134.558633,1.943450
27,36.0_133.0,36.380385,133.591083,0.795335
28,36.0_132.0,36.290206,132.450220,0.814754
29,35.0_132.0,35.601120,132.338640,0.813500
30,35.0_131.0,35.421840,131.531460,0.672758
31,34.0_131.0,34.752493,131.262550,1.318250
32,34.0_130.0,34.347167,130.485775,1.392926
33,33.0_130.0,33.783820,130.264992,5.376250
34,33.0_129.0,33.413671,129.551247,34.496684
35,32.0_129.0,32.670912,129.508576,1.524783
36,31.0_129.0,31.530267,129.464817,0.570276
37,31.0_130.0,31.426650,130.523280,0.783100
38,31.0_131.0,31.424977,131.483700,6.759980
39,31.0_132.0,31.696633,132.395900,0.134900
40,32.0_132.0,32.569955,132.704810,4.885317
41,33.0_132.0,33.539000,132.243700,57.614000
42,33.0_133.0,33.148314,133.767629,1.842506
43,32.0_133.0,32.810854,133.369838,8.091391
44,31.0_133.0,31.796600,133.634900,0.168333
45,31.0_134.0,31.250000,134.420000,0.000000
46,31.0_135.0,31.250000,135.500000,0.548400
47,32.0_135.0,32.343333,135.440000,0.365233
48,33.0_135.0,33.283939,135.481359,0.558900
49,33.0_134.0,33.307743,134.587157,1.622346
50,34.0_134.0,34.367725,134.800075,0.390388
51,34.0_133.0,34.318720,133.540680,1.422200
52,35.0_133.0,35.773968,133.607000,0.550620
53,34.0_132.0,34.181367,132.605467,0.175333
54,33.0_131.0,33.441796,131.750540,0.607700
55,32.0_130.0,32.628100,130.008400,0.493000
56,32.0_129.0,32.670912,129.508576,1.524783
57,32.0_128.0,32.452425,128.525513,0.321875
58,32.0_127.0,32.209050,127.552650,2.135000
59,31.0_127.0,31.510991,127.663370,0.498194
60,30.0_127.0,30.724144,127.556767,2.094833
61,29.0_127.0,29.520900,127.438050,1.130500
62,29.0_126.0,29.499300,126.629700,1.240000
63,29.0_127.0,29.520900,127.438050,1.130500
64,29.0_128.0,29.844700,128.998500,0.555200
65,29.0_129.0,29.305350,129.826150,3.008000
66,30.0_129.0,30.755427,129.676433,0.230000
67,30.0_128.0,30.604833,128.410100,1.072333
68,31.0_128.0,31.267784,128.286952,0.691917
69,32.0_128.0,32.452425,128.525513,0.321875
70,33.0_128.0,33.327375,128.954250,0.244750
71,34.0_129.0,34.492160,129.571940,1.037800
72,35.0_130.0,35.173800,130.670800,0.549000
73,36.0_131.0,36.247900,131.629767,0.168000
74,37.0_132.0,37.556250,132.696250,0.130500
75,37.0_133.0,37.679400,133.210400,0.120000
76,37.0_134.0,37.395200,134.637800,0.149000
77,36.0_135.0,36.341603,135.471350,1.393250
78,36.0_136.0,36.654800,136.266233,0.425033
79,36.0_137.0,36.899550,137.284050,0.261750
80,35.0_138.0,35.102550,138.675850,0.628550
81,35.0_139.0,35.262918,139.494932,2.185739
82,34.0_139.0,34.809210,139.380593,0.651470
83,34.0_138.0,34.472591,138.659291,1.291800
84,34.0_137.0,34.468314,137.222579,31.594992
85,34.0_136.0,34.435238,136.764924,0.660422
86,33.0_136.0,33.560257,136.387306,0.632382
87,32.0_136.0,32.638930,136.262960,0.465661
88,32.0_137.0,32.639911,137.239667,0.108422
89,32.0_138.0,32.579495,138.255891,1.004764
90,31.0_138.0,31.343400,138.094400,0.702500
91,31.0_137.0,31.656767,137.346567,0.059800
92,30.0_137.0,30.759400,137.839900,0.158000
93,30.0_136.0,30.563896,136.491349,0.244570
94,30.0_135.0,30.423567,135.440800,0.055800
95,29.0_135.0,29.340000,135.220000,0.172200
96,29.0_134.0,29.823400,134.711300,0.046300
97,29.0_133.0,29.766233,133.265600,1.365667
98,30.0_133.0,30.000000,133.390000,0.000000
99,31.0_132.0,31.696633,132.395900,0.134900
100,30.0_131.0,30.702500,131.518100,0.097300
101,30.0_130.0,30.726149,130.562764,0.709103
102,29.0_131.0,29.398600,131.522750,0.335000
103,28.0_131.0,28.340877,131.340767,0.643500
104,28.0_130.0,28.618000,130.959300,1.147000
105,28.0_129.0,28.121200,129.967500,0.132900
106,27.0_129.0,27.454500,129.435450,0.071700
107,27.0_130.0,27.491400,130.594550,0.059300
108,27.0_131.0,27.741550,131.578350,0.068300
109,28.0_130.0,28.618000,130.959300,1.147000
110,28.0_129.0,28.121200,129.967500,0.132900
111,28.0_128.0,28.439400,128.846000,0.017100
112,27.0_127.0,27.309540,127.515760,1.298121
113,26.0_127.0,26.086700,127.700700,0.032400
114,26.0_128.0,26.448900,128.423480,0.313660
115,25.0_128.0,25.203000,128.205000,1.102120
116,24.0_128.0,24.851700,128.441700,3.090000
117,23.0_128.0,23.420000,128.720000,0.028800
118,23.0_127.0,23.575500,127.905900,0.852100
119,22.0_127.0,22.185100,127.929800,0.397000
120,22.0_128.0,22.601000,128.938000,0.120870
121,23.0_128.0,23.420000,128.720000,0.028800
122,24.0_128.0,24.851700,128.441700,3.090000
123,25.0_127.0,25.521900,127.650700,0.277150
124,26.0_127.0,26.086700,127.700700,0.032400
125,27.0_127.0,27.309540,127.515760,1.298121
126,28.0_128.0,28.439400,128.846000,0.017100
127,29.0_127.0,29.520900,127.438050,1.130500
128,30.0_127.0,30.724144,127.556767,2.094833
129,31.0_126.0,31.967500,126.702800,0.023300
130,31.0_127.0,31.510991,127.663370,0.498194
131,31.0_128.0,31.267784,128.286952,0.691917
132,31.0_129.0,31.530267,129.464817,0.570276
133,31.0_130.0,31.426650,130.523280,0.783100
134,31.0_131.0,31.424977,131.483700,6.759980
135,31.0_132.0,31.696633,132.395900,0.134900
136,31.0_133.0,31.796600,133.634900,0.168333
137,31.0_134.0,31.250000,134.420000,0.000000
138,31.0_135.0,31.250000,135.500000,0.548400
139,31.0_136.0,31.253400,136.994400,0.006400
140,32.0_136.0,32.638930,136.262960,0.465661
141,33.0_137.0,33.604017,137.169733,0.297700
142,33.0_138.0,33.251533,138.288672,0.040422
143,33.0_139.0,33.637567,139.792733,0.135000
144,32.0_139.0,32.409800,139.894700,0.041600
145,32.0_140.0,32.353167,140.345967,0.078450
146,31.0_140.0,31.524122,140.104532,0.063924
147,30.0_140.0,30.369286,140.267565,0.031551
148,29.0_140.0,29.743825,140.355350,0.119025
149,28.0_140.0,28.522640,140.541920,0.038340
150,27.0_140.0,27.260325,140.768575,0.887475
151,27.0_141.0,27.160600,141.632300,0.231000
152,26.0_141.0,26.099300,141.079300,0.185000
153,25.0_141.0,25.190700,141.176650,0.078600
154,24.0_141.0,24.396550,141.287600,0.015450
155,23.0_141.0,23.382962,141.289530,0.088686
156,22.0_141.0,22.437942,141.171003,0.071002
157,21.0_141.0,21.332800,141.182267,0.079200
158,22.0_141.0,22.437942,141.171003,0.071002
159,23.0_141.0,23.382962,141.289530,0.088686
160,24.0_141.0,24.396550,141.287600,0.015450
161,25.0_141.0,25.190700,141.176650,0.078600
162,26.0_140.0,26.109731,140.559112,0.075690
163,27.0_140.0,27.260325,140.768575,0.887475
164,28.0_140.0,28.522640,140.541920,0.038340
165,29.0_140.0,29.743825,140.355350,0.119025
166,30.0_140.0,30.369286,140.267565,0.031551
167,31.0_140.0,31.524122,140.104532,0.063924
168,32.0_140.0,32.353167,140.345967,0.078450
169,33.0_140.0,33.361700,140.491800,0.008300
170,34.0_140.0,34.934550,140.209900,0.096400
171,35.0_140.0,35.305650,140.526900,0.384000
172,36.0_140.0,36.427700,140.843900,1.314800
173,36.0_141.0,36.561150,141.393475,0.357825
174,36.0_142.0,36.306740,142.282480,2.040122
175,35.0_142.0,35.195730,142.676650,17.080000
176,35.0_141.0,35.602727,141.552200,0.628989
177,36.0_141.0,36.561150,141.393475,0.357825
178,37.0_141.0,37.663430,141.594075,0.493458
179,38.0_141.0,38.416845,141.721833,1.109700
180,38.0_142.0,38.527671,142.419157,10.682357
181,39.0_142.0,39.594933,142.419900,9.380850
182,40.0_142.0,40.293950,142.883525,0.910357
183,41.0_142.0,41.548768,142.623809,4.786645
184,41.0_141.0,41.495977,141.556900,4.911860
185,40.0_141.0,40.696417,141.783167,2.908167
186,39.0_141.0,39.716900,141.478600,0.000000
187,39.0_142.0,39.594933,142.419900,9.380850
188,39.0_143.0,39.013600,143.260800,0.030700
189,40.0_143.0,40.394620,143.070960,3.271348
190,41.0_143.0,41.630977,143.576368,3.369356
191,42.0_143.0,42.246422,143.749500,0.533202
192,42.0_144.0,42.646187,144.330641,0.464824
193,42.0_145.0,42.708400,145.053200,9.700000
194,41.0_144.0,41.308500,144.549100,0.379530
195,40.0_144.0,40.125767,144.970100,1.098143
196,40.0_145.0,40.602000,145.107000,0.221720
197,40.0_146.0,40.167100,146.390167,0.131913
198,39.0_146.0,39.090800,146.155600,4.594000
199,39.0_147.0,39.690000,147.544067,0.336733
200,38.0_146.0,38.902600,146.421750,0.200400
