ordem,celula,lat,lon,densidade
1,17.0_-83.0,17.454444,-82.523333,0.004689
2,16.0_-83.0,16.623333,-82.419167,0.014683
3,16.0_-84.0,16.676818,-83.526818,0.005186
4,17.0_-84.0,17.347500,-83.732500,0.006950
5,18.0_-84.0,18.243333,-83.383333,0.005400
6,18.0_-85.0,18.800000,-84.900000,0.008080
7,19.0_-85.0,19.190000,-84.560000,0.008580
8,20.0_-86.0,20.010000,-85.080000,0.015100
9,19.0_-85.0,19.190000,-84.560000,0.008580
10,20.0_-84.0,20.950000,-83.480000,0.007550
11,19.0_-85.0,19.190000,-84.560000,0.008580
12,18.0_-86.0,18.500000,-85.395000,0.006660
13,17.0_-86.0,17.485714,-85.892857,0.007714
14,17.0_-87.0,17.560000,-86.330000,0.016430
15,16.0_-87.0,16.378000,-86.221000,0.002244
16,16.0_-86.0,16.457917,-85.669167,0.002990
17,16.0_-85.0,16.533182,-84.587727,0.006582
18,17.0_-85.0,17.411250,-84.282500,0.003698
19,17.0_-84.0,17.347500,-83.732500,0.006950
20,18.0_-83.0,18.340000,-82.470000,0.000000
21,18.0_-82.0,18.285000,-81.550000,0.000000
22,18.0_-81.0,18.623333,-80.486667,0.010800
23,18.0_-80.0,18.461667,-79.318333,0.004445
24,18.0_-79.0,18.485385,-78.659231,0.013348
25,18.0_-78.0,18.739375,-77.543750,0.039106
26,18.0_-77.0,18.473548,-76.405161,0.011815
27,17.0_-77.0,17.404815,-76.403333,0.017302
28,17.0_-76.0,17.684000,-75.554000,0.027218
29,18.0_-76.0,18.603500,-75.431750,0.014401
30,18.0_-75.0,18.581429,-74.682857,0.012733
31,19.0_-75.0,19.267692,-74.483846,0.005031
32,19.0_-74.0,19.583333,-73.802222,0.008116
33,20.0_-74.0,20.549259,-73.599630,0.028315
34,20.0_-73.0,20.448889,-72.457778,0.010971
35,20.0_-72.0,20.418000,-71.452000,0.014533
36,20.0_-71.0,20.261739,-70.357391,0.003350
37,19.0_-71.0,19.928333,-70.400000,0.020200
38,19.0_-70.0,19.597000,-69.329000,0.029454
39,20.0_-70.0,20.296250,-69.720000,0.012267
40,20.0_-71.0,20.261739,-70.357391,0.003350
41,20.0_-72.0,20.418000,-71.452000,0.014533
42,19.0_-73.0,19.980000,-73.000000,0.010800
43,20.0_-74.0,20.549259,-73.599630,0.028315
44,20.0_-75.0,20.720000,-74.120000,0.004600
45,19.0_-76.0,19.283333,-75.446667,0.002057
46,19.0_-77.0,19.285000,-76.625000,0.001620
47,19.0_-78.0,19.187500,-77.587500,0.004310
48,19.0_-79.0,19.425000,-78.678750,0.010750
49,19.0_-80.0,19.552353,-79.396471,0.010505
50,19.0_-81.0,19.304000,-80.492000,0.000612
51,19.0_-82.0,19.706667,-81.411667,0.010603
52,20.0_-82.0,20.375000,-81.765000,0.001080
53,20.0_-81.0,20.020000,-80.170000,0.003100
54,20.0_-80.0,20.288000,-79.754000,0.000440
55,19.0_-80.0,19.552353,-79.396471,0.010505
56,18.0_-80.0,18.461667,-79.318333,0.004445
57,17.0_-80.0,17.359500,-79.424000,0.009317
58,17.0_-79.0,17.308261,-78.350435,0.005284
59,17.0_-78.0,17.377368,-77.521579,0.009575
60,16.0_-78.0,16.646923,-77.376154,0.007248
61,16.0_-79.0,16.477778,-78.567778,0.004962
62,16.0_-80.0,16.436923,-79.470769,0.003846
63,16.0_-81.0,16.728889,-80.481111,0.004053
64,17.0_-81.0,17.341429,-80.333571,0.003971
65,17.0_-82.0,17.304286,-81.848571,0.003086
66,16.0_-82.0,16.684800,-81.372800,0.002549
67,15.0_-82.0,15.970000,-81.770000,0.025900
68,14.0_-82.0,14.465000,-81.625000,0.003800
69,13.0_-82.0,13.623333,-81.503333,0.000733
70,14.0_-82.0,14.465000,-81.625000,0.003800
71,15.0_-82.0,15.970000,-81.770000,0.025900
72,16.0_-81.0,16.728889,-80.481111,0.004053
73,16.0_-80.0,16.436923,-79.470769,0.003846
74,15.0_-79.0,15.570000,-78.980000,0.000000
75,16.0_-78.0,16.646923,-77.376154,0.007248
76,16.0_-77.0,16.411538,-76.521538,0.000762
77,15.0_-77.0,15.705000,-76.330000,0.002713
78,15.0_-76.0,15.576250,-75.651250,0.003125
79,15.0_-75.0,15.541429,-74.427143,0.004629
80,16.0_-75.0,16.564167,-74.540000,0.020599
81,17.0_-75.0,17.567333,-74.469333,0.003542
82,17.0_-74.0,17.264000,-73.604000,0.003460
83,17.0_-73.0,17.425000,-72.385000,0.004233
84,16.0_-73.0,16.480000,-72.616667,0.006907
85,15.0_-73.0,15.471538,-72.465385,0.004928
86,15.0_-74.0,15.676667,-73.493333,0.013500
87,14.0_-74.0,14.710000,-73.420000,0.002150
88,13.0_-73.0,13.800000,-72.480000,0.012000
89,13.0_-72.0,13.240000,-71.286667,0.018233
90,14.0_-72.0,14.611429,-71.282857,0.016814
91,15.0_-72.0,15.586667,-71.160000,0.009047
92,15.0_-71.0,15.443333,-70.803333,0.002517
93,16.0_-71.0,16.507143,-70.417143,0.004843
94,17.0_-71.0,17.450000,-70.354000,0.003020
95,17.0_-72.0,17.170000,-71.642500,0.004325
96,16.0_-72.0,16.271667,-71.510000,0.000548
97,16.0_-73.0,16.480000,-72.616667,0.006907
98,16.0_-74.0,16.604444,-73.613333,0.001329
99,16.0_-75.0,16.564167,-74.540000,0.020599
100,16.0_-76.0,16.705000,-75.570000,0.001087
101,15.0_-76.0,15.576250,-75.651250,0.003125
102,14.0_-76.0,14.250000,-75.400000,0.002200
103,13.0_-76.0,13.030000,-75.580000,0.000000
104,14.0_-76.0,14.250000,-75.400000,0.002200
105,15.0_-75.0,15.541429,-74.427143,0.004629
106,15.0_-74.0,15.676667,-73.493333,0.013500
107,15.0_-73.0,15.471538,-72.465385,0.004928
108,14.0_-72.0,14.611429,-71.282857,0.016814
109,14.0_-71.0,14.401250,-70.292500,0.002643
110,13.0_-71.0,13.740000,-70.713333,0.000933
111,13.0_-70.0,13.475000,-69.615000,0.001438
112,12.0_-70.0,12.552500,-69.405000,0.002575
113,12.0_-71.0,12.946667,-70.193333,0.001433
114,13.0_-70.0,13.475000,-69.615000,0.001438
115,14.0_-70.0,14.390000,-69.340000,0.000000
116,15.0_-70.0,15.492857,-69.717143,0.002880
117,16.0_-70.0,16.520000,-69.310000,0.001440
118,17.0_-70.0,17.720000,-69.200000,0.000000
