ordem,celula,lat,lon,densidade
1,-11.0_87.0,-10.615950,87.537925,0.316000
2,-10.0_87.0,-9.538775,87.409525,0.353250
3,-10.0_86.0,-9.733200,86.903100,0.342000
4,-11.0_86.0,-10.450967,86.492533,0.241433
5,-12.0_86.0,-11.659250,86.303800,0.394100
6,-12.0_87.0,-11.014100,87.427900,0.218900
7,-13.0_87.0,-12.919500,87.401300,2.990000
8,-13.0_86.0,-12.329200,86.351000,0.188000
9,-13.0_85.0,-12.093100,85.987300,0.118000
10,-12.0_85.0,-11.906900,85.987300,0.118000
11,-12.0_86.0,-11.659250,86.303800,0.394100
12,-13.0_87.0,-12.919500,87.401300,2.990000
13,-13.0_88.0,-12.581200,88.912900,0.065800
14,-14.0_89.0,-13.249650,89.755550,0.109900
15,-15.0_89.0,-14.750400,89.755550,0.109750
16,-14.0_89.0,-13.249650,89.755550,0.109900
17,-13.0_88.0,-12.581200,88.912900,0.065800
18,-12.0_87.0,-11.014100,87.427900,0.218900
19,-11.0_88.0,-10.159600,88.350200,0.028100
20,-10.0_88.0,-9.540975,88.428325,0.331250
21,-9.0_89.0,-8.573733,89.583767,0.299467
22,-9.0_90.0,-8.846850,90.748000,0.366650
23,-8.0_90.0,-7.239400,90.505500,0.313000
24,-8.0_89.0,-7.268950,89.507300,0.055700
25,-9.0_89.0,-8.573733,89.583767,0.299467
26,-10.0_88.0,-9.540975,88.428325,0.331250
27,-9.0_87.0,-8.081000,87.173200,0.198000
