ordem,celula,lat,lon,densidade
1,26.0_-57.0,26.346667,-56.585000,0.040540
2,27.0_-57.0,27.490000,-56.720000,0.130000
3,27.0_-56.0,27.410000,-55.270000,0.504133
4,28.0_-56.0,28.250000,-55.020000,0.135000
5,28.0_-57.0,28.565000,-56.715000,0.055200
6,28.0_-58.0,28.578333,-57.498333,0.038617
7,28.0_-59.0,28.523333,-58.427778,0.131047
8,27.0_-59.0,27.685000,-58.525000,0.141775
9,27.0_-58.0,27.466000,-57.670000,0.069620
10,26.0_-58.0,26.637333,-57.681333,0.076271
11,25.0_-58.0,25.637333,-57.698667,0.101780
12,25.0_-57.0,25.448333,-56.288333,0.060417
13,24.0_-57.0,24.458571,-56.530000,0.015856
14,23.0_-57.0,23.340000,-56.656000,0.007948
15,23.0_-58.0,23.458889,-57.640000,0.036517
16,22.0_-58.0,22.432857,-57.811429,0.032871
17,22.0_-59.0,22.401333,-58.490667,0.030852
18,23.0_-59.0,23.567500,-58.615000,0.031750
19,23.0_-60.0,23.519000,-59.534000,0.030930
20,23.0_-61.0,23.460000,-60.442000,0.144560
21,22.0_-61.0,22.665000,-60.310000,0.112290
22,22.0_-60.0,22.502222,-59.732222,0.017593
23,21.0_-60.0,21.697500,-59.563750,0.055055
24,20.0_-60.0,20.557333,-59.414667,0.024471
25,19.0_-60.0,19.557143,-59.621429,0.011263
26,18.0_-60.0,18.671818,-59.530909,0.025109
27,18.0_-61.0,18.515714,-60.498571,0.007197
28,19.0_-61.0,19.312500,-60.565000,0.013325
29,19.0_-62.0,19.240000,-61.165000,0.006500
30,18.0_-62.0,18.130000,-61.150000,0.002160
31,17.0_-62.0,17.450000,-61.405000,0.007025
32,17.0_-61.0,17.430000,-60.618000,0.003540
33,16.0_-61.0,16.511818,-60.380909,0.005173
34,15.0_-61.0,15.660000,-60.462000,0.006576
35,15.0_-60.0,15.272222,-59.402222,0.002051
36,14.0_-60.0,14.436667,-59.681111,0.012916
37,13.0_-60.0,13.483571,-59.683571,0.026586
38,12.0_-60.0,12.506667,-59.736667,0.003450
39,11.0_-60.0,11.468889,-59.652222,0.008989
40,11.0_-61.0,11.602500,-60.351250,0.001763
41,11.0_-62.0,11.720000,-61.462308,0.003238
