ordem,celula,lat,lon,densidade
1,24.0_-129.0,24.220500,-128.353000,0.014200
2,25.0_-129.0,25.107000,-128.109700,0.054200
3,25.0_-128.0,25.530000,-127.110000,0.006840
4,24.0_-128.0,24.430000,-127.220000,0.009820
5,23.0_-128.0,23.910000,-127.470000,0.056500
6,23.0_-129.0,23.000000,-128.080000,0.015900
7,22.0_-129.0,22.030000,-128.640000,0.016500
8,22.0_-130.0,22.830000,-129.340000,0.008660
9,23.0_-130.0,23.420000,-129.270000,0.014900
10,24.0_-130.0,24.470000,-129.340000,0.051500
11,25.0_-130.0,25.690000,-129.310000,0.001730
12,26.0_-130.0,26.580000,-129.410000,0.000000
13,27.0_-130.0,27.450000,-129.400000,0.000000
14,27.0_-129.0,27.700000,-128.790000,0.005420
15,28.0_-129.0,28.030000,-128.150000,0.000000
16,28.0_-128.0,28.490000,-127.310000,0.000000
17,28.0_-127.0,28.970000,-126.510000,0.000000
18,28.0_-126.0,28.270000,-125.600000,0.049450
19,29.0_-126.0,29.285000,-125.405000,0.008700
20,29.0_-125.0,29.710000,-124.500000,0.000292
21,29.0_-124.0,29.711714,-123.493143,0.025614
22,30.0_-124.0,30.592636,-123.604364,0.041964
23,31.0_-124.0,31.427667,-123.416200,0.102900
24,31.0_-125.0,31.914167,-124.163667,0.215467
25,32.0_-125.0,32.479000,-124.378550,0.095000
26,33.0_-125.0,33.389000,-124.321286,0.224186
27,33.0_-126.0,33.020000,-125.580000,0.043500
28,32.0_-126.0,32.308700,-125.230800,0.074000
29,32.0_-127.0,32.288500,-126.280300,0.095000
30,32.0_-128.0,32.258400,-127.365300,0.159000
31,33.0_-128.0,33.470000,-127.770000,0.178000
32,33.0_-127.0,33.470000,-126.770000,0.008460
33,34.0_-126.0,34.880000,-125.490000,0.000000
34,34.0_-125.0,34.725000,-124.220000,0.001310
35,35.0_-125.0,35.537500,-124.322500,0.004385
36,36.0_-125.0,36.813000,-124.585400,0.009000
37,36.0_-126.0,36.598700,-125.836200,0.009000
38,36.0_-127.0,36.254400,-126.712100,0.009000
39,36.0_-126.0,36.598700,-125.836200,0.009000
40,36.0_-125.0,36.813000,-124.585400,0.009000
41,36.0_-124.0,36.640000,-123.180000,0.006050
42,37.0_-124.0,37.771429,-123.191429,0.043000
43,37.0_-123.0,37.649778,-122.417778,1.895111
44,38.0_-123.0,38.165000,-122.283333,0.401500
45,38.0_-124.0,38.190000,-123.422857,0.073714
46,38.0_-125.0,38.376667,-124.506667,0.000000
47,39.0_-125.0,39.180000,-124.360000,0.000000
48,39.0_-126.0,39.740000,-125.430000,0.000000
49,40.0_-126.0,40.400000,-125.630000,0.001080
50,40.0_-127.0,40.090000,-126.990000,0.005200
