ordem,celula,lat,lon,densidade
1,40.0_18.0,40.376240,18.732000,1.368920
2,40.0_19.0,40.273717,19.255550,1.163333
3,39.0_19.0,39.581313,19.606561,1.251304
4,39.0_20.0,39.527375,20.101375,1.400250
5,39.0_19.0,39.581313,19.606561,1.251304
6,39.0_18.0,39.370050,18.533300,0.427150
7,39.0_17.0,39.333800,17.820000,5.940000
8,40.0_17.0,40.761200,17.783300,0.780000
9,41.0_17.0,41.353950,17.563125,2.550000
10,41.0_16.0,41.749350,16.957300,3.175000
11,42.0_16.0,42.166650,16.399950,2.140000
12,42.0_15.0,42.106800,15.615200,1.670000
13,41.0_16.0,41.749350,16.957300,3.175000
14,41.0_17.0,41.353950,17.563125,2.550000
15,41.0_18.0,41.345867,18.578367,0.726667
16,42.0_18.0,42.173350,18.683250,2.045000
17,42.0_19.0,42.037200,19.003700,0.260000
18,41.0_19.0,41.824800,19.210000,0.780000
19,40.0_19.0,40.273717,19.255550,1.163333
20,39.0_19.0,39.581313,19.606561,1.251304
21,38.0_18.0,38.674300,18.264000,0.486000
22,37.0_18.0,37.795300,18.513400,1.030000
