ordem,celula,lat,lon,densidade
1,-31.0_-22.0,-30.279800,-21.833000,0.228000
2,-31.0_-23.0,-30.616050,-22.796200,0.259730
3,-32.0_-22.0,-31.252700,-21.733100,0.029200
4,-32.0_-21.0,-31.870500,-20.748000,0.005300
5,-33.0_-20.0,-32.591300,-19.948000,0.084400
6,-34.0_-20.0,-33.486700,-19.099700,0.094000
7,-35.0_-19.0,-34.041900,-18.185900,0.092400
8,-35.0_-18.0,-34.604800,-17.188700,0.526000
9,-35.0_-19.0,-34.041900,-18.185900,0.092400
10,-34.0_-20.0,-33.486700,-19.099700,0.094000
11,-33.0_-20.0,-32.591300,-19.948000,0.084400
12,-32.0_-21.0,-31.870500,-20.748000,0.005300
13,-31.0_-22.0,-30.279800,-21.833000,0.228000
14,-30.0_-21.0,-29.948200,-20.712000,0.174000
15,-30.0_-20.0,-29.506800,-19.570800,0.189000
16,-30.0_-19.0,-29.120300,-18.511200,0.128000
17,-29.0_-18.0,-28.832000,-17.443000,0.288000
18,-29.0_-17.0,-28.386500,-16.389800,0.130000
19,-29.0_-16.0,-28.032000,-15.336800,0.149000
20,-29.0_-15.0,-28.130000,-14.780000,0.671000
21,-28.0_-15.0,-27.641200,-14.301300,0.472000
22,-28.0_-14.0,-27.222000,-13.266000,0.047600
23,-27.0_-13.0,-26.838800,-12.256500,0.107000
24,-27.0_-12.0,-26.290500,-11.288000,0.175000
25,-26.0_-11.0,-25.824300,-10.276700,0.900000
26,-26.0_-10.0,-25.382300,-9.227200,0.140000
27,-25.0_-9.0,-24.914300,-8.203200,0.117000
28,-25.0_-8.0,-24.382500,-7.267000,0.096800
29,-24.0_-7.0,-23.852800,-6.329800,0.036000
30,-23.0_-7.0,-22.540700,-6.188700,0.027400
31,-24.0_-7.0,-23.852800,-6.329800,0.036000
32,-25.0_-8.0,-24.382500,-7.267000,0.096800
33,-25.0_-9.0,-24.914300,-8.203200,0.117000
34,-26.0_-10.0,-25.382300,-9.227200,0.140000
35,-26.0_-11.0,-25.824300,-10.276700,0.900000
36,-27.0_-12.0,-26.290500,-11.288000,0.175000
37,-27.0_-13.0,-26.838800,-12.256500,0.107000
38,-28.0_-14.0,-27.222000,-13.266000,0.047600
39,-29.0_-15.0,-28.130000,-14.780000,0.671000
40,-29.0_-16.0,-28.032000,-15.336800,0.149000
41,-29.0_-17.0,-28.386500,-16.389800,0.130000
42,-29.0_-18.0,-28.832000,-17.443000,0.288000
43,-28.0_-19.0,-27.550000,-18.090000,0.424000
44,-29.0_-18.0,-28.832000,-17.443000,0.288000
45,-30.0_-19.0,-29.120300,-18.511200,0.128000
46,-30.0_-20.0,-29.506800,-19.570800,0.189000
47,-30.0_-21.0,-29.948200,-20.712000,0.174000
48,-31.0_-22.0,-30.279800,-21.833000,0.228000
49,-31.0_-23.0,-30.616050,-22.796200,0.259730
50,-30.0_-24.0,-29.965800,-23.481900,0.016400
51,-30.0_-25.0,-29.515500,-24.610300,0.006540
52,-31.0_-25.0,-30.896000,-24.064500,0.758000
53,-32.0_-26.0,-31.135300,-25.223000,0.736000
54,-32.0_-27.0,-31.484300,-26.319700,0.096800
55,-32.0_-28.0,-31.664200,-27.522700,0.364000
56,-32.0_-29.0,-31.940000,-28.689700,0.179000
57,-33.0_-30.0,-32.476800,-29.714200,0.346000
58,-33.0_-31.0,-32.831000,-30.813300,0.108000
59,-33.0_-30.0,-32.476800,-29.714200,0.346000
60,-32.0_-29.0,-31.940000,-28.689700,0.179000
61,-32.0_-28.0,-31.664200,-27.522700,0.364000
62,-32.0_-27.0,-31.484300,-26.319700,0.096800
63,-32.0_-26.0,-31.135300,-25.223000,0.736000
64,-31.0_-25.0,-30.896000,-24.064500,0.758000
65,-30.0_-25.0,-29.515500,-24.610300,0.006540
66,-29.0_-25.0,-28.577300,-24.976300,0.006960
67,-28.0_-26.0,-27.883500,-25.898200,0.010400
68,-27.0_-25.0,-26.460000,-24.210000,0.324000
