ordem,celula,lat,lon,densidade
1,-12.0_-144.0,-11.464000,-143.638000,0.000540
2,-13.0_-144.0,-12.228000,-143.642000,0.001986
3,-13.0_-145.0,-12.720000,-144.252000,0.002692
4,-13.0_-146.0,-12.362000,-145.720000,0.000568
5,-12.0_-146.0,-11.690000,-145.290000,0.001500
6,-11.0_-146.0,-10.680000,-145.410000,0.000367
7,-11.0_-147.0,-10.660000,-146.590000,0.000000
8,-11.0_-148.0,-10.900000,-147.430000,0.000000
9,-12.0_-148.0,-11.040000,-147.920000,0.000000
10,-12.0_-147.0,-11.530000,-146.730000,0.000000
11,-13.0_-147.0,-12.675000,-146.575000,0.000000
12,-14.0_-147.0,-13.608000,-146.554000,0.000840
13,-15.0_-147.0,-14.557692,-146.590000,0.002889
14,-15.0_-148.0,-14.611875,-147.556875,0.001797
15,-16.0_-148.0,-15.440000,-147.260000,0.000000
16,-17.0_-148.0,-16.110000,-147.950000,0.009350
17,-17.0_-149.0,-16.252500,-148.550000,0.000000
18,-17.0_-150.0,-16.574615,-149.398462,0.001652
19,-17.0_-151.0,-16.784000,-150.630000,0.001886
20,-17.0_-152.0,-16.575556,-151.663333,0.001386
21,-17.0_-153.0,-16.625000,-152.177500,0.004853
22,-16.0_-152.0,-15.530000,-151.935000,0.001115
23,-15.0_-151.0,-14.300000,-150.250000,0.000000
24,-14.0_-152.0,-13.565000,-151.195000,0.005320
25,-14.0_-153.0,-13.630000,-152.685000,0.000000
26,-14.0_-154.0,-13.820000,-153.260000,0.002660
27,-13.0_-154.0,-12.480000,-153.730000,0.000000
28,-13.0_-155.0,-12.310000,-154.775000,0.000000
29,-12.0_-155.0,-11.256667,-154.896667,0.000675
30,-11.0_-156.0,-10.570000,-155.205000,0.001890
31,-10.0_-156.0,-9.630000,-155.480000,0.000000
32,-9.0_-156.0,-8.730000,-155.870000,0.000000
33,-9.0_-157.0,-8.350000,-156.070000,0.001250
34,-8.0_-157.0,-7.333333,-156.480000,0.000000
35,-7.0_-158.0,-6.390000,-157.320000,0.000000
36,-6.0_-158.0,-5.420000,-157.360000,0.000000
37,-6.0_-157.0,-5.210000,-156.480000,0.000000
38,-6.0_-156.0,-5.300000,-155.030000,0.000000
39,-5.0_-156.0,-4.485000,-155.315000,0.000421
40,-5.0_-157.0,-4.500000,-156.070000,0.000000
41,-4.0_-157.0,-3.800000,-156.515000,0.000000
42,-4.0_-158.0,-3.537500,-157.167500,0.000000
43,-3.0_-158.0,-2.396667,-157.536667,0.001013
44,-2.0_-158.0,-1.220000,-157.850000,0.001320
45,-2.0_-159.0,-1.300000,-158.650000,0.000000
46,-1.0_-159.0,-0.576667,-158.643333,0.000327
47,-1.0_-160.0,-0.080000,-159.190000,0.000000
48,-1.0_-161.0,-0.340000,-160.145000,0.000000
49,-1.0_-160.0,-0.080000,-159.190000,0.000000
50,-1.0_-159.0,-0.576667,-158.643333,0.000327
51,-1.0_-158.0,-0.215000,-157.500000,0.000000
52,-1.0_-157.0,-0.427500,-156.722500,0.000000
53,-2.0_-157.0,-1.840000,-156.370000,0.000000
54,-3.0_-156.0,-2.520000,-155.880000,0.000000
55,-4.0_-156.0,-3.350000,-155.590000,0.000000
56,-4.0_-157.0,-3.800000,-156.515000,0.000000
57,-5.0_-158.0,-4.620000,-157.380000,0.000000
58,-6.0_-157.0,-5.210000,-156.480000,0.000000
59,-7.0_-156.0,-6.740000,-155.390000,0.000000
60,-7.0_-155.0,-6.340000,-154.595000,0.000409
61,-7.0_-154.0,-6.660000,-153.760000,0.001100
62,-8.0_-154.0,-7.460000,-153.210000,0.003630
63,-8.0_-155.0,-7.575000,-154.855000,0.000000
64,-8.0_-154.0,-7.460000,-153.210000,0.003630
65,-9.0_-153.0,-8.560000,-152.295000,0.002400
66,-10.0_-152.0,-9.710000,-151.530000,0.001040
67,-11.0_-152.0,-10.800000,-151.110000,0.000000
68,-12.0_-152.0,-11.530000,-151.350000,0.000000
