Id,Label,Latitude,Longitude,Densidade,Tipo
"43.0_3.0","43.0_3.0",43.2038,3.3517,0.034500,"Intermediario"
"-3.0_-11.0","-3.0_-11.0",-2.7013,-10.2352,0.000000,"Intermediario"
"43.0_140.0","43.0_140.0",43.0474,140.4970,12.320252,"Intermediario"
"-14.0_-152.0","-14.0_-152.0",-13.5650,-151.1950,0.005320,"Intermediario"
"6.0_-86.0","6.0_-86.0",6.9700,-85.9300,0.001080,"Intermediario"
"35.0_23.0","35.0_23.0",35.7025,23.4194,0.306000,"Intermediario"
"39.0_-142.0","39.0_-142.0",39.1300,-141.6200,0.216050,"Intermediario"
"-15.0_-148.0","-15.0_-148.0",-14.6119,-147.5569,0.001797,"Intermediario"
"34.0_136.0","34.0_136.0",34.4352,136.7649,0.660422,"Intermediario"
"35.0_-121.0","35.0_-121.0",35.0545,-120.8488,0.015115,"Intermediario"
"12.0_-26.0","12.0_-26.0",12.5000,-25.9900,0.022100,"Intermediario"
"9.0_-116.0","9.0_-116.0",9.5500,-115.3500,0.000000,"Intermediario"
"27.0_-61.0","27.0_-61.0",27.6755,-60.3109,0.123088,"Intermediario"
"-26.0_107.0","-26.0_107.0",-25.7993,107.8098,0.018500,"Intermediario"
"23.0_-127.0","23.0_-127.0",23.6700,-126.1200,0.000000,"Intermediario"
"43.0_-83.0","43.0_-83.0",43.6387,-82.3606,0.010763,"Intermediario"
"28.0_-123.0","28.0_-123.0",28.3200,-122.8100,0.003200,"Intermediario"
"42.0_5.0","42.0_5.0",42.9735,5.3973,1.910000,"Intermediario"
"-3.0_-142.0","-3.0_-142.0",-2.6467,-141.3733,0.000000,"Intermediario"
"-30.0_69.0","-30.0_69.0",-29.3500,69.3900,0.095300,"Intermediario"
"31.0_-62.0","31.0_-62.0",31.2900,-61.4525,0.062415,"Intermediario"
"27.0_-74.0","27.0_-74.0",27.4850,-73.5400,0.043200,"Intermediario"
"29.0_-119.0","29.0_-119.0",29.3740,-118.6120,0.000000,"Intermediario"
"30.0_130.0","30.0_130.0",30.7261,130.5628,0.709103,"Intermediario"
"22.0_-58.0","22.0_-58.0",22.4329,-57.8114,0.032871,"Intermediario"
"-34.0_15.0","-34.0_15.0",-33.2300,15.3400,0.010600,"Intermediario"
"11.0_-138.0","11.0_-138.0",11.8300,-137.6300,0.001900,"Intermediario"
"45.0_-86.0","45.0_-86.0",45.5608,-85.5290,0.084941,"Intermediario"
"8.0_-146.0","8.0_-146.0",8.2400,-145.5200,0.001175,"Intermediario"
"-32.0_-94.0","-32.0_-94.0",-31.3878,-93.3457,0.016400,"Intermediario"
"-34.0_-84.0","-34.0_-84.0",-33.0195,-83.4213,0.000000,"Intermediario"
"10.0_-155.0","10.0_-155.0",10.6400,-154.7900,0.000000,"Intermediario"
"30.0_-38.0","30.0_-38.0",30.4967,-37.0833,0.031900,"Intermediario"
"32.0_133.0","32.0_133.0",32.8109,133.3698,8.091391,"Intermediario"
"42.0_-64.0","42.0_-64.0",42.4621,-63.5057,0.023014,"Intermediario"
"7.0_-163.0","7.0_-163.0",7.6033,-162.2000,0.002770,"Intermediario"
"56.0_-136.0","56.0_-136.0",56.5400,-135.1500,0.000000,"Intermediario"
"37.0_-140.0","37.0_-140.0",37.7359,-139.7674,1.800000,"Intermediario"
"13.0_133.0","13.0_133.0",13.8530,133.7372,0.028900,"Intermediario"
"-53.0_-53.0","-53.0_-53.0",-52.2120,-52.2446,0.000000,"Intermediario"
"73.0_18.0","73.0_18.0",73.4679,18.5278,0.010800,"Intermediario"
"27.0_-56.0","27.0_-56.0",27.4100,-55.2700,0.504133,"Intermediario"
"37.0_-149.0","37.0_-149.0",37.8400,-148.8350,0.316150,"Intermediario"
"49.0_-9.0","49.0_-9.0",49.2511,-8.4353,4.750000,"Intermediario"
"14.0_-163.0","14.0_-163.0",14.5100,-162.8400,0.000000,"Intermediario"
"-5.0_-157.0","-5.0_-157.0",-4.5000,-156.0700,0.000000,"Intermediario"
"16.0_-147.0","16.0_-147.0",16.8100,-146.6800,0.000794,"Intermediario"
"-26.0_-37.0","-26.0_-37.0",-25.9968,-36.4999,0.024800,"Intermediario"
"-15.0_-153.0","-15.0_-153.0",-14.3033,-152.4667,0.000000,"Intermediario"
"28.0_-62.0","28.0_-62.0",28.5667,-61.2667,0.290900,"Intermediario"
"15.0_-66.0","15.0_-66.0",15.6450,-65.3383,0.002887,"Intermediario"
"24.0_-70.0","24.0_-70.0",24.2880,-69.6280,0.046760,"Intermediario"
"19.0_-58.0","19.0_-58.0",19.4920,-57.8000,0.037972,"Intermediario"
"-30.0_-101.0","-30.0_-101.0",-29.1922,-100.7390,0.128000,"Intermediario"
"57.0_-137.0","57.0_-137.0",57.2600,-136.2200,0.000000,"Intermediario"
"-60.0_128.0","-60.0_128.0",-59.8202,128.7495,0.106000,"Intermediario"
"36.0_-60.0","36.0_-60.0",36.2567,-59.6933,0.046067,"Intermediario"
"-8.0_89.0","-8.0_89.0",-7.2690,89.5073,0.055700,"Intermediario"
"42.0_-82.0","42.0_-82.0",42.2434,-81.3010,0.101953,"Intermediario"
"41.0_17.0","41.0_17.0",41.3540,17.5631,2.550000,"Intermediario"
"13.0_-157.0","13.0_-157.0",13.5050,-156.1550,0.000000,"Intermediario"
"54.0_-9.0","54.0_-9.0",54.8319,-8.7213,6.166667,"Intermediario"
"39.0_-137.0","39.0_-137.0",39.4098,-136.4378,0.192850,"Intermediario"
"43.0_-9.0","43.0_-9.0",43.5614,-8.5790,0.103667,"Intermediario"
"22.0_-45.0","22.0_-45.0",22.8600,-44.5300,0.033400,"Intermediario"
"12.0_-130.0","12.0_-130.0",12.2600,-130.0000,0.000000,"Intermediario"
"25.0_-120.0","25.0_-120.0",25.7600,-119.7800,0.000000,"Intermediario"
"36.0_-3.0","36.0_-3.0",36.6011,-2.6744,0.489600,"Intermediario"
"16.0_-72.0","16.0_-72.0",16.2717,-71.5100,0.000548,"Intermediario"
"7.0_-145.0","7.0_-145.0",7.5950,-144.2900,0.000000,"Intermediario"
"36.0_143.0","36.0_143.0",36.3559,143.1206,0.303600,"Intermediario"
"17.0_-86.0","17.0_-86.0",17.4857,-85.8929,0.007714,"Intermediario"
"16.0_-85.0","16.0_-85.0",16.5332,-84.5877,0.006582,"Intermediario"
"4.0_-156.0","4.0_-156.0",4.3100,-155.5800,0.000000,"Intermediario"
"29.0_-124.0","29.0_-124.0",29.7117,-123.4931,0.025614,"Intermediario"
"29.0_-81.0","29.0_-81.0",29.6200,-80.3750,0.005217,"Intermediario"
"36.0_-122.0","36.0_-122.0",36.8100,-121.9800,0.001180,"Intermediario"
"30.0_-143.0","30.0_-143.0",30.0133,-142.3367,0.145833,"Intermediario"
"21.0_-161.0","21.0_-161.0",21.6504,-160.5444,0.008380,"Intermediario"
"-24.0_166.0","-24.0_166.0",-23.2101,166.6370,0.000610,"Intermediario"
"7.0_-158.0","7.0_-158.0",7.5600,-157.3900,0.000422,"Intermediario"
"73.0_142.0","73.0_142.0",73.0405,142.1484,0.000000,"Intermediario"
"10.0_-67.0","10.0_-67.0",10.7000,-66.0500,0.000000,"Intermediario"
"17.0_-152.0","17.0_-152.0",17.0700,-151.6100,0.007380,"Intermediario"
"21.0_-108.0","21.0_-108.0",21.0100,-107.6200,0.004300,"Intermediario"
"-35.0_-41.0","-35.0_-41.0",-34.8070,-40.0783,0.254000,"Intermediario"
"39.0_3.0","39.0_3.0",39.0490,3.0290,0.088000,"Intermediario"
"22.0_-162.0","22.0_-162.0",22.9567,-161.9107,0.009120,"Intermediario"
"2.0_-123.0","2.0_-123.0",2.1900,-122.6000,0.000000,"Intermediario"
"48.0_-142.0","48.0_-142.0",48.1600,-141.9300,0.000000,"Intermediario"
"8.0_-159.0","8.0_-159.0",8.5600,-158.7100,0.000000,"Intermediario"
"33.0_-132.0","33.0_-132.0",33.0300,-131.6200,0.583000,"Intermediario"
"32.0_-15.0","32.0_-15.0",32.9100,-14.6100,0.059600,"Intermediario"
"27.0_-117.0","27.0_-117.0",27.7400,-116.2650,0.000000,"Intermediario"
"-40.0_-57.0","-40.0_-57.0",-39.7700,-56.7500,0.000000,"Intermediario"
"22.0_128.0","22.0_128.0",22.6010,128.9380,0.120870,"Intermediario"
"50.0_-131.0","50.0_-131.0",50.5150,-130.2100,0.004650,"Intermediario"
"30.0_-60.0","30.0_-60.0",30.4075,-59.5850,0.070178,"Intermediario"
"5.0_-126.0","5.0_-126.0",5.4800,-125.3250,0.000000,"Intermediario"
"-35.0_14.0","-35.0_14.0",-34.6235,14.4685,0.007400,"Intermediario"
"23.0_-158.0","23.0_-158.0",23.5500,-157.5075,0.007088,"Intermediario"
"-26.0_-123.0","-26.0_-123.0",-25.5538,-122.2008,0.003780,"Intermediario"
